PROBLEM NAME: 	bench_5_1-TTP
KNAPSACK DATA TYPE: uncorrelated, similar weights
DIMENSION:	6
NUMBER OF ITEMS: 	25
CAPACITY OF KNAPSACK: 	11375
MIN SPEED: 	0.1
MAX SPEED: 	1
RENTING RATIO: 	72.70
EDGE_WEIGHT_TYPE:	CEIL_2D
NODE_COORD_SECTION	(INDEX, X, Y): 
1	288	149
2	80	157
3	48	99
4	8	97
5	156	137
6	236	93
ITEMS SECTION	(INDEX, PROFIT, WEIGHT, ASSIGNED NODE NUMBER): 
1	240	1004	2
2	986	1002	2
3	41	1009	2
4	544	1003	2
5	808	1001	2
6	940	1002	3
7	453	1007	3
8	94	1009	3
9	812	1004	3
10	531	1008	3
11	754	1005	4
12	597	1007	4
13	73	1007	4
14	794	1001	4
15	157	1002	4
16	658	1006	5
17	131	1009	5
18	643	1004	5
19	113	1006	5
20	382	1005	5
21	164	1003	6
22	645	1008	6
23	501	1004	6
24	958	1004	6
25	168	1003	6
