PROBLEM NAME: 	bench_5_4-TTP
KNAPSACK DATA TYPE: uncorrelated, similar weights
DIMENSION:	6
NUMBER OF ITEMS: 	25
CAPACITY OF KNAPSACK: 	11375
MIN SPEED: 	0.1
MAX SPEED: 	1
RENTING RATIO: 	72.70
EDGE_WEIGHT_TYPE:	CEIL_2D
NODE_COORD_SECTION	(INDEX, X, Y): 
1	288	149
2	32	145
3	104	121
4	104	89
5	204	57
6	268	97
ITEMS SECTION	(INDEX, PROFIT, WEIGHT, ASSIGNED NODE NUMBER): 
1	226	1006	2
2	642	1000	2
3	652	1007	2
4	434	1009	2
5	473	1001	2
6	684	1005	3
7	163	1007	3
8	693	1004	3
9	688	1003	3
10	975	1003	3
11	507	1008	4
12	893	1001	4
13	621	1004	4
14	74	1008	4
15	63	1000	4
16	814	1007	5
17	654	1007	5
18	211	1009	5
19	446	1005	5
20	165	1000	5
21	135	1002	6
22	895	1007	6
23	206	1006	6
24	755	1002	6
25	194	1008	6
