PROBLEM NAME: 	ttd300_n40_L5_f075-TTP
KNAPSACK DATA TYPE: uncorrelated, similar weights
DIMENSION:	41
NUMBER OF ITEMS: 	200
CAPACITY OF KNAPSACK: 	91001
MIN SPEED: 	0.1
MAX SPEED: 	1
RENTING RATIO: 	50.00
EDGE_WEIGHT_TYPE:	CEIL_2D
DRONE ENDURANCE: 	300
NODE_COORD_SECTION	(INDEX, X, Y): 
1	292	300
2	216	173
3	28	16
4	80	250
5	216	179
6	298	235
7	141	0
8	61	9
9	98	155
10	139	48
11	219	215
12	29	263
13	220	218
14	164	69
15	188	35
16	280	175
17	272	280
18	259	293
19	21	6
20	157	94
21	127	92
22	69	130
23	190	268
24	71	251
25	233	176
26	104	218
27	173	99
28	210	204
29	66	53
30	31	208
31	154	44
32	270	232
33	114	7
34	56	245
35	233	76
36	140	8
37	65	172
38	81	265
39	109	66
40	277	32
41	89	98
ITEMS SECTION	(INDEX, PROFIT, WEIGHT, ASSIGNED NODE NUMBER): 
1	169	1008	2
2	604	1006	2
3	937	1009	2
4	298	1009	2
5	713	1002	2
6	133	1005	3
7	933	1002	3
8	81	1009	3
9	38	1009	3
10	63	1005	3
11	489	1005	4
12	618	1009	4
13	88	1007	4
14	661	1001	4
15	454	1002	4
16	496	1008	5
17	286	1009	5
18	747	1003	5
19	727	1003	5
20	995	1009	5
21	802	1004	6
22	730	1002	6
23	464	1006	6
24	419	1009	6
25	232	1003	6
26	617	1002	7
27	530	1001	7
28	247	1000	7
29	422	1005	7
30	818	1001	7
31	596	1007	8
32	165	1000	8
33	758	1001	8
34	849	1007	8
35	863	1009	8
36	605	1006	9
37	662	1001	9
38	903	1000	9
39	306	1000	9
40	248	1002	9
41	578	1004	10
42	630	1006	10
43	377	1005	10
44	184	1001	10
45	209	1007	10
46	10	1002	11
47	550	1009	11
48	750	1001	11
49	176	1004	11
50	256	1002	11
51	924	1006	12
52	184	1004	12
53	409	1007	12
54	913	1003	12
55	645	1002	12
56	266	1008	13
57	90	1005	13
58	299	1002	13
59	311	1007	13
60	252	1001	13
61	625	1003	14
62	353	1003	14
63	1000	1002	14
64	259	1005	14
65	429	1006	14
66	514	1004	15
67	718	1002	15
68	547	1002	15
69	591	1009	15
70	984	1005	15
71	318	1000	16
72	890	1004	16
73	828	1008	16
74	488	1000	16
75	127	1000	16
76	856	1005	17
77	807	1009	17
78	179	1002	17
79	664	1000	17
80	628	1005	17
81	424	1007	18
82	515	1009	18
83	588	1009	18
84	562	1000	18
85	66	1009	18
86	907	1002	19
87	512	1006	19
88	59	1008	19
89	235	1003	19
90	359	1009	19
91	358	1002	20
92	103	1003	20
93	532	1000	20
94	133	1001	20
95	76	1007	20
96	163	1000	21
97	69	1008	21
98	93	1002	21
99	37	1004	21
100	125	1003	21
101	138	1006	22
102	426	1001	22
103	812	1007	22
104	972	1001	22
105	568	1002	22
106	334	1006	23
107	785	1006	23
108	860	1003	23
109	86	1002	23
110	915	1006	23
111	744	1003	24
112	600	1008	24
113	845	1007	24
114	148	1009	24
115	210	1009	24
116	167	1006	25
117	248	1006	25
118	985	1007	25
119	8	1000	25
120	425	1005	25
121	587	1005	26
122	556	1000	26
123	808	1009	26
124	755	1005	26
125	901	1000	26
126	186	1001	27
127	868	1006	27
128	9	1004	27
129	863	1007	27
130	768	1006	27
131	262	1009	28
132	37	1004	28
133	400	1005	28
134	784	1003	28
135	417	1007	28
136	883	1002	29
137	157	1008	29
138	919	1009	29
139	955	1000	29
140	1	1007	29
141	241	1008	30
142	878	1005	30
143	668	1006	30
144	497	1001	30
145	197	1009	30
146	480	1002	31
147	995	1008	31
148	353	1003	31
149	940	1000	31
150	171	1004	31
151	853	1006	32
152	452	1006	32
153	67	1000	32
154	374	1009	32
155	168	1009	32
156	765	1000	33
157	876	1003	33
158	715	1004	33
159	356	1008	33
160	7	1003	33
161	688	1002	34
162	250	1006	34
163	568	1008	34
164	224	1009	34
165	316	1009	34
166	592	1009	35
167	543	1009	35
168	639	1004	35
169	383	1009	35
170	134	1002	35
171	304	1005	36
172	510	1001	36
173	742	1007	36
174	259	1002	36
175	3	1005	36
176	534	1000	37
177	119	1009	37
178	849	1005	37
179	739	1002	37
180	854	1006	37
181	322	1008	38
182	204	1004	38
183	397	1004	38
184	445	1009	38
185	474	1006	38
186	206	1000	39
187	962	1003	39
188	352	1003	39
189	503	1005	39
190	171	1005	39
191	258	1002	40
192	541	1004	40
193	92	1007	40
194	661	1006	40
195	730	1006	40
196	749	1001	41
197	666	1002	41
198	345	1006	41
199	63	1002	41
200	976	1001	41
