PROBLEM NAME: 	ttd300_n10_L5-TTP
KNAPSACK DATA TYPE: uncorrelated, similar weights
DIMENSION:	11
NUMBER OF ITEMS: 	50
CAPACITY OF KNAPSACK: 	22750
MIN SPEED: 	0.1
MAX SPEED: 	1
RENTING RATIO: 	50.00
EDGE_WEIGHT_TYPE:	CEIL_2D
NODE_COORD_SECTION	(INDEX, X, Y): 
1	272	231
2	47	140
3	241	191
4	21	185
5	262	48
6	164	44
7	74	247
8	72	39
9	287	161
10	225	137
11	100	229
ITEMS SECTION	(INDEX, PROFIT, WEIGHT, ASSIGNED NODE NUMBER): 
1	96	1002	2
2	433	1009	2
3	61	1002	2
4	996	1009	2
5	652	1000	2
6	616	1008	3
7	729	1006	3
8	209	1009	3
9	621	1003	3
10	237	1007	3
11	848	1007	4
12	280	1009	4
13	141	1007	4
14	560	1005	4
15	300	1007	4
16	209	1002	5
17	355	1006	5
18	809	1003	5
19	342	1002	5
20	43	1000	5
21	497	1006	6
22	429	1009	6
23	649	1003	6
24	173	1004	6
25	689	1008	6
26	884	1007	7
27	5	1000	7
28	992	1000	7
29	459	1004	7
30	161	1001	7
31	960	1004	8
32	261	1008	8
33	674	1003	8
34	728	1006	8
35	184	1000	8
36	428	1000	9
37	605	1001	9
38	465	1005	9
39	496	1008	9
40	288	1004	9
41	117	1000	10
42	663	1009	10
43	779	1004	10
44	364	1002	10
45	495	1005	10
46	559	1008	11
47	374	1009	11
48	260	1005	11
49	778	1003	11
50	858	1005	11
